timestamp,cadvisor_version_info,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_load_average_10s,container_cpu_load_d_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_file_descriptors,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_kernel_usage,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_total_active_file_bytes,container_memory_total_inactive_file_bytes,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_processes,container_scrape_error,container_sockets,container_spec_cpu_period,container_spec_cpu_quota,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state,container_threads,container_threads_max,container_ulimits_soft,machine_cpu_cores,machine_cpu_physical_cores,machine_cpu_sockets,machine_memory_bytes,machine_nvm_avg_power_budget_watts,machine_nvm_capacity,machine_scrape_error,machine_swap_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2025-05-18T02:11:13,1,10145,164,94.2861465,0,0,122.16,666.1937661,406.16,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534263,1924993024,0,101772,222646272,890707968,5830406144,3407368192,131072,493690880,1428426752,5710151680,4281724928,15183904,0,0,54153,20953779,0,0,69841,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.061570372,3605,3605,0,1
2025-05-18T02:11:43,1,10446,164,94.2861465,0,0,124.78,673.9426097,409.88,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534293,1925480448,0,101772,235548672,890732544,5830406144,3413696512,131072,495284224,1427312640,5722927104,4295614464,15531180,0,0,54989,21475065,0,0,70689,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.059758788,3605,3605,0,1
2025-05-18T02:12:13,1,10747,164,94.2861465,0,0,126.84,681.070293,413.42,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534323,1926090752,0,101772,235569152,890806272,5830406144,3424301056,131072,495382528,1427828736,5734588416,4306759680,15876956,0,0,55806,21993718,0,0,71523,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.071358926,3605,3605,0,1
2025-05-18T02:12:43,1,11049,164,94.2861465,0,0,129.36,688.4067856,417.35,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534353,1926569984,0,101772,235646976,890806272,5830406144,3438489600,131072,495489024,1428193280,5748793344,4320600064,18077750,0,0,56725,22528163,0,0,72473,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.064479587,3605,3605,0,1
2025-05-18T02:13:13,1,11350,165,94.3122146,0,0,131.78,696.1287537,421.57,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534383,1927020544,0,101772,235712512,890806272,5830406144,3453616128,131072,495595520,1428934656,5770182656,4341248000,18423280,0,0,57539,23046357,0,0,73302,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.067101449,3605,3605,0,1
2025-05-18T02:13:43,1,11651,165,94.3122146,0,0,134.24,704.0409079,425.96,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534413,1923649536,0,101772,222445568,891015168,5830406144,3481567232,135168,496529408,1424658432,5782175744,4357517312,18770812,0,0,58368,23583900,0,0,74145,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063174245,3605,3605,0,1
2025-05-18T02:14:13,1,11953,166,94.7365395,0,0,136.46,711.7841133,430.63,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534443,1921482752,0,101772,222498816,890929152,5830406144,3482005504,135168,499019776,1419993088,5775192064,4355198976,19117030,0,0,59195,24103024,0,0,74977,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.062690018,3605,3605,0,1
2025-05-18T02:14:43,1,12254,166,94.7365395,0,0,139.23,719.1177727,435.27,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534473,1921941504,0,101772,222547968,890957824,5830406144,3479363584,135168,499126272,1420353536,5774045184,4353691648,19463601,0,0,60020,24622155,0,0,75808,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.065258038,3605,3605,0,1
2025-05-18T02:15:13,1,12555,166,94.7365395,0,0,141.91,726.7547768,440.84,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534503,1906126848,0,101772,222191616,890785792,5830406144,3485528064,139264,503562240,1400745984,5764247552,4363501568,19816485,0,0,60840,25142489,0,0,76647,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.062482074,3605,3605,0,1
2025-05-18T02:15:43,1,12856,167,94.8183294,0,0,144.68,735.0423147,447.94,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534533,1906593792,0,101772,222195712,890806272,5830406144,3495735296,139264,503672832,1401102336,5775351808,4374249472,20174897,0,0,61687,25664849,0,0,77509,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063200886,3605,3605,0,1
